"Order","订单"
"You're not logged.","你还未登入。"
"Message via","信息来自"
"From","由"
"You're already on support in other chat application, please close it before opening a new one.","你已於另一个聊天软件内得到支援，请先关闭再开新档。"
"Show more","显示更多"
"Show more orders","显示更多订单"
"To show more, send","要显示更多，请发出"
"No categories available at the moment, please try again later.","现在没有任何类别，请稍候再试。"
"Done. This category has %s products.","已完成。此类别有 %s 件产品。"
"Done. This category has only one product.","已完成。此类别只有 1 件产品。"
"Done. I've found %s products for your criteria.","已完成。我按你的要求找到了 %s 件产品。"
"Done. I've found only one product for your criteria.","已完成。我按你的要求只找到了 1 件产品。"
"Done. You've only one order.","已完成。你只有一则订单。"
"Done. I've found %s orders.","已完成。我找到了 %s 则订单。"
"Please wait while our support check your message so you can talk to a real person.","请等候我们的支援团队查阅阁下的信息再安排跟真人对话。"
"Please use","请使用"
"your message here.","你在此的信息。"
"We're working on this feature.","我们正常落力完成这功能。"
"Done. The customer is no longer on support.","已完成。这客户已不再接受支援。"
"Support ended.","支援结束。"
"You're now on support mode.","已开启支援模式。"
"Ok, send me the message and I'll forward it to the customer.","好的，请发信息给我，我会再转发给客户。"
"Done. The customer is no longer able to enter support.","已完成。此客户无法再进入支援。"
"Done. The customer is now able to enter support.","已完成。此客户现在能够进入支援。"
"I'm sorry, you can't ask for support now. Please try again later.","对不起，你暂时无法得到支援。请稍候再试。"
"Block support","阻止支援"
"Enable support","启用支援"
"End support","结束支援"
"Reply this message","回覆信息"
"ID","ID"
"Enable/Disable support","启用/关闭支援"
"Ok, logging out.","好的，正在登出。"
"please wait while I prepare the checkout for you.","请等候我准备给你结账。"
"please wait while I gather your orders for listing.","请等候我列出你的订单。"
"please wait while I add the products from this order to your cart.","请等候我把这订单中的产品加进你的购物车。"
"adding %s to your cart.","正在添加 %s 进你的购物车。"
"please wait while I gather all categories for you.","请等候我给你显示所有类别。"
"please wait while I search for '%s' for you.","请等候我给你搜寻 %s"
"please wait while I check the status for order %s.","请等候我给你查询订单 %s 的状态。"
"this product","此产品"
"listing more.","列出更多。"
"please wait while I gather all products from %s for you.","请等候我给你从 %s 显示所有产品。"
"Phrase","词组"
"Reply","回覆"
"Similarity (%)","相似程度 (%)"
"Add","添加"
"Command","指令"
"Command Code","指令代码"
"Alias","别名"
"Match Case","符合大小写"
"And that was the last one.","这是最後一个。"
"please wait while I clear your cart.","请等候我清空你的购物车。"
"Webhook URL","Webhook URL 位址"
"Click %s to check that information on Telegram website. If a wrong URL is set, try reloading this page or click %s.","点选 %s 从 Telegram 网站查看资讯。如果连结错误，请尝试刷新这页或点按 %s。"
"here","此处"
"To configure Facebook webhook access","要设定接上 Facebook webhook"
"and set the webhook URL as","及设定 webhook URL 位址为"
"Create a new account.","建立新账户。"
"Access %s to register a new account on our shop.","经由 %s 在我们的商店登记新账户。"
"This product is not in stock.","此产品还未在存货。"
