"Order","Pedido"
"Sorry, we couldn't find any order with this information.","Desculpe, não encontramos nenhum pedido com esse número."
"Your account dosen't have any orders.","Sua conta não possui pedidos"
"To talk with me, please enable Telegram on your account chatbot settings.","Para conversar comigo, habilite o Telegram nas configurações de chatbot de sua conta."
"Start a bot conversation on Telegram","Comece uma conversa com nosso bot no Telegram"
"Start a bot conversation on Facebook Messenger","Comece uma conversa com nosso bot no Facebook Messenger"
"Here","Aqui"
"Enable Telegram?","Habilitar Telegram?"
"Enable Facebook?","Habilitar Facebook?"
"Enable Whatsapp?","Habilitar Whatsapp?"
"Enable Wechat?","Habilitar Wechat?"
"To talk with me, please enable Facebook Messenger on your account chatbot settings.","Para conversar comigo, habilite o Facebook Messenger nas configurações de chatbot de sua conta."
"Visit product's page","Visitar páginas do produto"
"Processing...","Processando..."
"Please wait while I check that for you.","Por favor, aguarde enquanto eu busco essa informação para você."
"Login","Entrar"
"To login to your account, click the link below","Para acessar sua conta, clique no link abaixo"
"You're already logged.","Você já está logado na sua conta."
"You're not logged.","Você não está logado na sua conta."
"Message via","Mensagem via"
"From","De"
"You're already on support in other chat application, please close it before opening a new one.","Você já está com o suporte aberto em outro aplicativo de conversa, porque favor finalize o suporte antes de abrir um novo."
"Show more","Mostrar mais"
"Show more orders","Mostrar mais pedidos"
"To show more, send","Para exibir mais, envie"
"No categories available at the moment, please try again later.","Nenhuma categoria disponível no momento, por favor tente novamente mais tarde."
"Done. This category has %s products.","Pronto. Essa categoria possui %s produtos."
"Done. This category has only one product.","Pronto. Essa categoria possui apenas um produto."
"Done. I've found %s products for your criteria.","Pronto. Encontrei %s produtos para sua busca."
"Done. I've found only one product for your criteria.","Pronto. Encontrei apenas um produto para sua busca."
"Done. You've only one order.","Pronto. Você tem apenas um pedido na sua conta."
"Done. I've found %s orders.","Pronto. Encontrei %s pedidos em sua conta."
"Please wait while our support check your message so you can talk to a real person.","Por favor, aguarde enquanto nosso suporte verifica sua mensagem para que você possa conversar conosco."
"Please use","Por favor use"
"your message here.","sua mensagem aqui."
"We're working on this feature.","Estamos trabalhando nessa funcionalidade."
"Done. The customer is no longer on support.","Pronto. O cliente não está mais em modo de suporte."
"Support ended.","Suporte finalizado"
"You're now on support mode.","Você entrou no modo de suporte."
"Ok, send me the message and I'll forward it to the customer.","Ok, envie a mensagem e eu encaminharei para o cliente."
"Done. The customer is no longer able to enter support.","Pronto. O cliente não poderá mais pedir por suporte."
"Done. The customer is now able to enter support.","Pronto. O cliente poderá pedir por suporte."
"I'm sorry, you can't ask for support now. Please try again later.","Desculpe, você não pode pedir por suporte agora. Por favor tente novamente mais tarde."
"Block support","Bloquear supporte"
"Enable support","Habilitar supporte"
"End support","Finalizar supporte"
"Reply this message","Responder essa mensagem"
"ID","ID"
"Enable/Disable support","Habilita/desabilita suporte"
"Ok, logging out.","Ok, saindo de sua conta."
"please wait while I prepare the checkout for you.","por favor aguarde enquanto eu preparo o seu pedido para ser finalizado."
"please wait while I gather your orders for listing.","por favor aguarde enquanto eu busco as informações dos seus pedidos para lista-los."
"please wait while I add the products from this order to your cart.","por favor aguarde enquanto eu adiciono os produtos do seu pedido no carrinho."
"adding %s to your cart.","adicionando %s ao seu carrinho"
"please wait while I gather all categories for you.","por favor aguarde enquanto busco todas as categorias para você."
"please wait while I search for '%s' for you.","por favor aguarde enquanto busco por '%s' para você."
"please wait while I check the status for order %s.","por favor aguarde enquanto verifico o status do pedido %s."
"this product","esse produto"
"listing more.","listando mais."
"please wait while I gather all products from %s for you.","por favor aguarde enquanto busco todos os produtos da categoria %s para você."
"Phrase","Frase"
"Reply","Resposta"
"Similarity (%)","Similaridade (%)"
"Add","Adicionar"
"Command","Comando"
"Command Code","Código do Comando"
"Alias","Aliás"
"Match Case","Diferenciar Maiúsculas de Minúsculas"
"And that was the last one.","E esse foi o último."
"please wait while I clear your cart.","por favor aguarde enquanto limpo o seu carrinho."
"Webhook URL","URL do Webhook"
"Click %s to check that information on Telegram website. If a wrong URL is set, try reloading this page or click %s.","Clique %s para verificar essa informação no site do Telegram. Se a URL estiver errada, tente recarregar essa página ou clique %s."
"here","aqui"
"To configure Facebook webhook access","Para configurar o webhook do Facebook acesse"
"and set the webhook URL as","e coloque a URL"
"Create a new account.","Criar uma nova conta."
"Access %s to register a new account on our shop.","Acesse %s para criar uma nova conta em nossa loja."
"This product is not in stock.","Não temos estoque para esse produto."
"If you want to logout from your account, just send","Se você quiser sair da sua conta, envie"
"Please try one of the following commands.","Por gentileza tente um dos comandos abaixo."
"Okay, so you want me to list the categories for you.","Ok, então você quer ver as categorias da loja."
"Okay, so you want to search for a product.","Ok, então você quer buscar por produtos."
"Okay, so you want to login.","Ok, então você quer entrar na sua conta."
"Okay, so you want to list orders.","Ok, então você quer listar seus pedidos."
"Okay, so you want to reorder.","Ok, então você quer refazer um pedido."
"Okay, so you want to add a product to the cart.","Ok, então você quer adicionar um produto no carrinho."
"Okay, so you want to checkout.","Ok, então você quer finalizar seu pedido."
"Okay, so you want to clear your cart.","Ok, então você quer limpar seu carrinho."
"Okay, so you want to track your order.","Ok, então você quer rastrear seu pedido."
"Okay, so you want support.","Ok, então você quer suporte."
"Okay, so you want to send us an email.","Ok, então você quer enviar um e-mail."
"Okay, so you want to cancel.","Ok, então você quer cancelar"
"Okay, so you want to help.","Ok, então você quer ajuda."
"Okay, so you want to know more about us.","Ok, então você quer saber mais sobre a nossa empresa."
"Okay, so you want to logout.","Ok, então você quer sair da sua conta."
"Okay, so you want to register to our store.","Ok, então você quer se registrar em nossa loja."
"use your Custom Key (%s) as your Verify Token","use sua Custom Key (%s) como o seu Verify Token"
"Receive Promotional Messages?","Receber Mensagens Promocionais?"
"One message sent.","Uma mensagem enviada."
"%s messages sent.","%s mensagens enviadas."
"No customer available to receive this message.","Nenhum cliente disponível para receber essa mensagem."
"Chatbot Settings","Configurações do Chatbot"
"Your Secret Key","Sua Chave Secreta"
"Master Support Group","Grupo de Suporte Mestre"
"Forward Fallback Messages to Support","Encaminhar Mensagens Desconhecidas Para o Suporte"
"List Empty Categoies","List Empty Categoies"
"Disable Promotional Messages","Desativar Mensagens Promocionais"
"Enable Log","Ativar Log"
"General Configuration","Configurações Gerais"
"***Still in Development***","***Em Desenvolvimento***"
"Enable witAI Integration","Ativar Integração Com witAI"
"Enable Confirmation Message","Ativar Mensagem de Confirmação"
"witAI API Key","Chave de API do witAI"
"Acceptable witAI Confidence Percentage","Porcentagem de Confidência Aceitavel Para o witAI"
"Telegram Configurations","Configurações do Telegram"
"Enable Telegram Bot","Ativar Telegram Bot"
"Unavailability Message","Mensagem de Indisponibilidade"
"Telegram Bot API Key","Chave de API do Telegram Bot"
"Enable Inline Search","Ativar Buscar Inline"
"Enable Speech Recognition","Ativar Reconhecimento de Voz"
"Telegram Support Group ID","ID do Grupo de Suporte do Telegram"
"Telegram Welcome Message","Mensagem de Bem-Vindo do Telegram"
"Telegram Help Message","Mensagem de Ajuda do Telegram"
"Telegram About Message","Mensagem de Sobre do Telegram"
"Enable Command Listing On Help","Ativar Lista de Comandos na Ajuda"
"Enable Command Listing On Error","Ativar Lista de Comandos no Erro"
"Commands List","Lista de Comandos"
"Enable Default Replies","Ativar Respostas Padrão"
"Default Replies","Respostas Padrão"
"Fallback Message","Mensagen Desconhecida"
"Fallback Times","Quantidade de Erros Para Mandar a Mensagem Desconhecida"
"Facebook Messenger Configurations","Configurações do Facebook Messenger"
"Enable Messenger Bot","Ativar Messenger Bot"
"Page Access Token","Token de Acesso da Página"
"Messenger Support Chat ID","ID do Chat de Suporte do Messenger"
"Messenger Welcome Message","Mensagem de Bem-Vindo do Messenger"
"Messenger Help Message","Mensagem de Ajuda do Messenger"
"Messenger About Message","Mensagem de Sobre do Messenger"
"Enable Command Prediction","Ativar Previsão de Comandos"
"Command","Comando"
"Enable Command","Ativar Comando"
"Command Code","Código do Comando"
"Command Alias (Separated by Comma)","Pseudônimos do Comando (Separados Por Vírgula)"
"Match Mode","Modo de Combinação"
"Match Text, Regex or wit.ai entity","Texto, Regex ou Entity do wit.ai"
"Match Case","Diferenciar Mai/Min"
"Stop Processing","Parar Processamento"
"Similarity (%)","Similaridade (%)"
"Reply Mode","Modo de Resposta"
"Reply Text","Texto de Resposta"
"Command","Comando"
"List Categories","Listar Categorias"
"Search For Product","Buscar Por Produto"
"Login","Entrar"
"List Orders","Listar Pedidos"
"Reorder","Refazer Pedido"
"Add Product to Cart","Adicionar Produto ao Carrinho"
"Checkout on Website","Finalizar Pedido"
"Clear Cart","Limpar Carrinho"
"Track Order Status","Rastrear Pedido"
"Talk to Support","Conversar Com Suporte"
"Send Email","Enviar E-mail"
"Cancel","Cancelar"
"Help","Ajuda"
"About","Sobre"
"Logout","Sair"
"Register","Registrar"
"Similarity","Similaridade"
"Starts With","Começar Com"
"Ends With","Termina Com"
"Contains","Contém"
"Match RegEx","RegEx"
"Equals to","Igual à"
"wit.ai","wit.ai"
"Disable","Desativar"
"Enable","Ativar"
"Telegram Group","Grupo do Telegram"
"Messenger Group","Grupo do Messenger"
"Message us","Enviar Mensagem"
"Enable Facebook Messenger Box","Ativar Caixa de Chat do Messenger"
"Facebook Messenger Box Size","Tamanho da Caixa de Chat do Messenger"
"Telegram Bot Username","Username do Bot do Telegram"
"Facebook Page Username","Username da Página do Facebook"
"Your order status is","O status do seu pedido é"
"Done. The bot will no longer send messages to this customer.","Pronto. O bot não enviará mais mensagens para esse usuário."
"Done. The bot will now start sending messages to this customer.","Pronto. O bot está ativado para enviar mensagens para esse usuário."
"Bot respond is disabled for now because the customer is being replied by a human.","Bot respond is disabled for now because the customer is being replied by a human."
"Enable/Disable Bot Replies","Habilita/desabilita Respostas do Bot"
"List of all admin commands","Lista de todos os comandos de admin"
"List all admin commands","Lista todos os comandos de admin"
"Send message to all customers","Envia mensagem para todos os clientes"
"End support for customer","Finaliza suporte para o cliente"
"Block customer for entering support mode","Bloqueia cliente de pedir por suporte"
"Enable customer for entering support mode","Habilita cliente de pedir por suporte"
"Disable bot responses","Desabilita respostas do bot"
"Enable bot responses","Habilita respostas do bot"
"Enable Option to Disable Bot","Habilita Opção de Desabilitar o Bot"
"Hi","Olá"
"Enable Referral","Ativar Referencial"
"If you want to reorder one of these orders, choose it below, or choose '%s' to list more orders.","Se você quiser refazer um dos pedidos acima, selecione-o abaixo, ou para listar mais selecione '%s'."
